Pesticide name,CAS #,Pesticide type,Mode of Action-short version,Mode of Action-Classification-site target,Survey inclusion (name),"Screened in a survey (N=0, Y=1)",Number of surveys screening (N),LD50 Oral Geometric mean (ug/bee),Oral LD50 Source,LD50 Contact Geometric mean (ug/bee),Contact LD50 Source,LOAEL Lowest sublethal significant dose of the publication per effect and exposure type (all Unit Measures),LOAEL Unit measure,"LOAEL Lowest sublethal significant dose per publication per effect and exposure type (μg bee-1, or ug bee-1 per day)",LOAEL Category (μg bee-1),SubTR (LOAEL/LD50),SubTR Category,Exposure type (oral vs contact),Exposure type (acute vs chronic),Exposure duration (h),Time (after exposure) of significant effect (h),Main feed type category,Subcategory of feed type,Feed type concentration provided (%),Bee type,Genus,Species,Species details,Sublethal effect main category,Sublethal effect sub-category,Sublethal effect-details,Original reference,Reference year,Review reference
Parathion,56-38-2,Insecticide,IRAC 1,IRAC 1B,"EURL, Tosi et al., 2018",1,2,,,,,0.005,μg/bee,0.005,<0.01,,,Oral,Acute,,0.5,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Communication,Waggle dance- prevention of communicating the direction of a food source to other bees by dancing,"Schricker, B., and W. P. Stephen. 1970. “The Effect of Sublethal Doses of Parathion on Honeybee Behaviour. I. Oral Administration and the Communication Dance.” Journal of Apicultural Research 9 (3): 141–153.",1970, 
Parathion-ethyl,56-38-2,Insecticide,IRAC 1,IRAC 1B,"APHIS, Calatayud-Vernich et al., 2018, Poshbee H2020, ",1,3,0.21,PPDB,,,,,,,,,,,,,,,,,,,,,,,,,
Parathion-methyl,298-00-0,Insecticide,IRAC 1,IRAC 1B,"Pacific North West, Tosi et al., 2018",1,2,,,19.5,PPDB,0.01,μg/bee,0.01,<0.1,0.000512821,<0.001,Contact,Acute,,0.3,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,"Lower visit frequency, followed by an increase to a level above that of the control","Guez, D., S. W. Zhang, and M. V. Srinivasan. ""Methyl Parathion Modifies Foraging Behaviour in Honeybees (Apis Mellifera)."" Ecotoxicology 14, no. 4 (May 2005): 431-37.",2005, 
Parathion-methyl,298-00-0,Insecticide,IRAC 1,IRAC 1B,"Pacific North West, Tosi et al., 2018",1,2,,,19.5,PPDB,,,,,,,,,,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Alteration of esterase activity in bee body: Esterase 1 activity reduced,"Attencia VM Ruvolo-Takasusuki MCC, de Toledo VAA, 2005. Esterase activity in Apis mellifera after exposure to organophosphate insecticides (Hymenoptera: Apidae). Sociobiology, 45(3), 587- 595.",2005,"EFSA Panel on Plant Protection, and their Residues (PPR). 2012. “Scientific Opinion on the Science behind the Development of a Risk Assessment of Plant Protection Products on Bees (Apis Mellifera, Bombus Spp. and Solitary Bees).” EFSA Journal 10 (5): 2668."
Parathion-methyl,298-00-0,Insecticide,IRAC 1,IRAC 1B,"Pacific North West, Tosi et al., 2018",1,2,,,19.5,PPDB,,,,,,,Contact,Chronic,,6,,,,,Apis,Apis dorsata,Apis dorsata,Physiological,Biochemical,Inhibition of AChE activity ,"Rathee, N., Kanchesh, S. Deswal, and K. S. Nehra. 2015. ""Effect of some insecticides on acetylcholinesterase activity of giant honey bee (Apis dorsata F.).""  Annals of Biology 31 (1):113-116.",2015, 
Parathion-methyl,298-00-0,Insecticide,IRAC 1,IRAC 1B,"Pacific North West, Tosi et al., 2018",1,2,,,19.5,PPDB,,,,,,,Oral,Acute,,6,,,,,Apis,Apis dorsata,Apis dorsata,Physiological,Biochemical,Inhibition of AChE activity ,"Rathee, N., Kanchesh, S. Deswal, and K. S. Nehra. 2015. ""Effect of some insecticides on acetylcholinesterase activity of giant honey bee (Apis dorsata F.).""  Annals of Biology 31 (1):113-116.",2015, 
Parathion-methyl,298-00-0,Insecticide,IRAC 1,IRAC 1B,"Pacific North West, Tosi et al., 2018",1,2,,,19.5,PPDB,500,g/ha,,,,,Oral,Chronic,,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,"Decrease of the foraging activity with no return to normal the next day, reduction of pollen collection- effect on hive development","Shires, Stephen W., Andrew Murray, Phillippe Debray, and Jean Le Blanc. 1984. “The Effects of a New Pyrethroid Insecticide WL-85871 on Foraging Honey Bees (Apis Mellifera L.).” Pesticide Science 15 (5): 491–499.",1984, 
Penconazole,66246-88-6,Fungicide,FRAC G,FRAC 3 (G1),"APHIS, Porrini et al., 2016, ",1,2,112,PPDB,30,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pencycuron,66063-05-06,Fungicide,FRAC B,FRAC 20 (B4),"Porrini et al., 2016, ",1,1,98.5,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pendimethalin,40487-42-1,Herbicide,HRAC K1,HRAC K1,"APHIS, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,4,101.2,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Penthiopyrad,183675-82-3,Fungicide,FRAC C,FRAC 7 (C2),"APHIS, ",1,1,500,PPDB|OpenFoodTox,500,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Permethrin,52645-53-1,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.13,PPDB,0.024,PPDB,0.013,μg/bee,0.013,<0.1,,,,,,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,"Decreased learning ability, abnormal behaviour (antennae cleaning, rubing together of gind legs)","Mamood, A.N. and Waller, G.D. (1990). Recovery of learning responses by honeybees following sublethal exposure to perme- thrin. Physiol. Entomol. IS, 55±60",1990,"Thompson, Helen M. ""Behavioural Effects of Pesticides in Bees - Their Potential for Use in Risk Assessment."" Ecotoxicology 12, no. 1/4 (Feb-Aug 2003): 317-30."
Permethrin,52645-53-1,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.13,PPDB,0.024,PPDB,0.02596,μg/bee,0.02596,<0.1,1.081666667,≥1,Contact,Acute,2,25,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,Decrease of the time spent in social interaction,"Ingram, E. M., J. Augustin, M. D. Ellis, and B. D. Siegfried. ""Evaluating Sub-Lethal Effects of Orchard-Applied Pyrethroids Using Video-Tracking Software to Quantify Honey Bee Behaviors."" Chemosphere 135 (Sep 2015): 272-77.",2015, 
Permethrin,52645-53-1,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.13,PPDB,0.024,PPDB,0.05229,μg/bee,0.05229,<0.1,2.17875,≥1,Contact,Acute,2,25,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,Decrease of total distance moved - Increase of time spent in the food zone,"Ingram, E. M., J. Augustin, M. D. Ellis, and B. D. Siegfried. ""Evaluating Sub-Lethal Effects of Orchard-Applied Pyrethroids Using Video-Tracking Software to Quantify Honey Bee Behaviors."" Chemosphere 135 (Sep 2015): 272-77.",2015, 
Permethrin,52645-53-1,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.13,PPDB,0.024,PPDB,,,,,,,,Acute,,,,,, ,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Accelerated cumulative inactivation of the sodium current peak in a similar manner,"Kadala, A., M. Charreton, I. Jakob, T. Cens, M. Rousset, M. Chahine, Y. L. Conte, P. Charnet, and C. Collet. 2014. ""Pyrethroids differentially alter voltage-gated sodium channels from the honeybee central olfactory neurons.""  PLoS ONE 9 (11). doi: 10.1371/journal.pone.0112194.",2014, 
Phenothrin,26002-80-2,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenthoate,2597-03-7,Insecticide,IRAC 1,IRAC 1B,"Tosi et al., 2018",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phentolamine,50-60-2,NA,NA,NA,None,0,0,,,,,1,nmol/bee,,,,,Injection,Acute,,0.5,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Stimulation of trehalase activities,"Cascino, P., M. Nectoux, G. Guiraud, and M. Bounias. ""The Formamidine Amitraz as a Hyperglycemic Alpha-Agonist in Worker Honeybees (Apis Mellifera Mellifera L.) in Vivo."" Biomedical and environmental sciences : BES 2, no. 2 (1989): 106-14.",1989, 
Phorate,298-02-2,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, ",1,2,0.43,PPDB,0.32,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Phosalone,2310-17-0,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, Poshbee H2020, ",1,3,102,PPDB,4.4,PPDB| OpenFoodTox,1200,g/ha,,,,,Oral,Chronic,,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Gradual reduction in foraging activity,"Shires, Stephen W., Andrew Murray, Phillippe Debray, and Jean Le Blanc. 1984. “The Effects of a New Pyrethroid Insecticide WL-85871 on Foraging Honey Bees (Apis Mellifera L.).” Pesticide Science 15 (5): 491–499.",1984, 
Phosmet,0732-11-6,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, Poshbee H2020, Tosi et al., 2018",1,4,0.37,PPDB,0.22,PPDB| OpenFoodTox| OpenFoodTox,,,,,,,Oral,Chronic,,48,,,, ,Megachile,Megachile rotundata,Megachile rotundata,Behavioural,Activity,"Declines in the number of adult males, nesting females and progeny production- decreased nesting activity","Alston, D. G., V. J. Tepedino, B. A. Bradley, T. R. Toler, T. L. Griswold, and S. M. Messinger. ""Effects of the Insecticide Phosmet on Solitary Bee Foraging and Nesting in Orchards of Capitol Reef National Park, Utah."" Environmental Entomology 36, no. 4 (Aug 2007): 811-16.",2007, 
Phosmet oxon,3735-33-9,Insecticide,IRAC 1,IRAC 1B,"APHIS, ",1,1,0.37,PPDB,0.22,PPDB,,,,,,,,,,,,,,,,,,,,,,, 
Picoxystrobin,117428-22-5,Fungicide,FRAC C,FRAC 11 (C3),"APHIS, ",1,1,200,PPDB,200,PPDB,0.9,μg/bee,0.9,<1,0.0045,<0.01,Oral,Chronic,120,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Hepato-nephrocitic system (HNS) activity : High percentage of pericardial cells in stage 1 and 2,"Domingues, C. E. C., F. C. Abdalla, P. J. Balsamo, B. V. R. Pereira, M. A. Hausen, M. J. Costa, and E. C. M. Silva-Zacarin. ""Thiamethoxam and Picoxystrobin Reduce the Survival and Overload the Hepato-Nephrocitic System of the Africanized Honeybee."" Chemosphere 186 (Nov 2017): 994-1005.",2017, 
Piperonyl butoxide,51-03-6,Insecticide,IRAC 27,IRAC 27A,"APHIS, Pacific North West, ",1,2,,,294,PPDB,1,μg/bee,1,≥1,0.003401361,<0.01,Contact,Acute,2,,,,,,Apis,Apis cerana,Apis Cerana Indica,Physiological,Biochemical,Increase in GST activity. ,"Anjum, F., M. K. J. Siddiqui, H. Sultana, and S. S. H. Qadri. ""Some Metabolic Changes Induced by Ddt and Piperonyl Butoxide in Honeybee Apis Cerana Indica."" COMP. PHYSIOL. ECOL. 13, no. 2 (1988): 85-88.",1988, 
Piperonyl butoxide,51-03-6,Insecticide,IRAC 27,IRAC 27A,"APHIS, Pacific North West, ",1,2,,,294,PPDB,2.5,μL/bee,,,,,,,,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Esterase activity reduced (of 19-22%),"Todeschini, V., M. Panini, O. Chiesa, V. Puggioni, M. Anaclerio, H. Vinsova, M. Kamler, D. Titera, and E. Mazzoni. ""In Vitro Study on the Inhibition of Enzymatic Systems in Italian and Carniolan Honey Bees by Piperonyl Butoxide New Derivatives."" Bulletin of Insectology 70, no. 2 (Dec 2017): 237-44.",2017, 
Pirimicarb,23103-98-2,Insecticide,IRAC 1,IRAC 1A,"Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,3,4,PPDB,17.8,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pirimiphos-ethyl,23505-41-1,Insecticide,IRAC 1,IRAC 1B,"Poshbee H2020, ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirimiphos-methyl,29232-93-7,Insecticide,IRAC 1,IRAC 1B,"Pacific North West, Porrini et al., 2016, Tosi et al., 2018",1,3,0.22,PPDB,,,,,,,,,,,,,,,,,,,,,,,,,
Polychlorinated biphenyl (PCB) mixture (Aloclor 1254),1336-36-3,NA,NA,NA,None,0,0,,,,,100,ng/ml,0.00000013,<0.0001,,,Oral,Chronic,,24,Carbohydrates,Sugar solution,,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity ,"Increase of the frequency and time engaged in honeybee motor activity, hyperactivity (day 1 and more), abdominal spasms and increased grooming behaviours (after 4 days of exposure)","Drummond, J., S. M. Williamson, A. E. Fitchett, G. A. Wright, and S. J. Judge. ""Spontaneous Honeybee Behaviour Is Altered by Persistent Organic Pollutants."" Ecotoxicology 26, no. 1 (Jan 2017): 141-50.",2017, 
Polyethoxylated nonylphenol,25154-52-3,NA,NA,NA,None,0,0,,,,,,,,,,,Oral,Chronic,,,,,, ,Osmia and Megachile,Multiple non-Apis,"Osmia lignaria, Megachile rotundata",Behavioural,Activity,Pollen-collecting trip time increased for Osmia lignaria and decreased for Megachile rotundata,"Artz, D. R., and T. L. Pitts-Singer. ""Effects of Fungicide and Adjuvant Sprays on Nesting Behavior in Two Managed Solitary Bees, Osmia Lignaria and Megachile Rotundata."" Plos One 10, no. 8 (Aug 2015).",2015, 
Potasan,299-45-6,NA,NA,NA,"APHIS, ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prallethrin,23031-36-9,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,,,0.026,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pristine (pyraclostrobin + boscalid),NA,Fungicide,NA,NA,None,0,0,,,,,6.6,ppm,,,,,Oral,Chronic,,,Proteins,Pollen,,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Muscle activity,Reduction of state 3 respiration rates and RCR (respiratory control ratio),"Campbell, J. B., R. Nath, J. Gadau, T. Fox, G. DeGrandi-Hoffman, and J. F. Harrison. ""The Fungicide Pristine (R) Inhibits Mitochondrial Function in Vitro but Not Flight Metabolic Rates in Honey Bees."" Journal of Insect Physiology 86 (Mar 2016): 11-16.",2016, 
Prochloraz,67747-09-05,Fungicide,FRAC G,FRAC 3 (G1),"Calatayud-Vernich et al., 2018, Poshbee H2020, ",1,2,101.0299956,PPDB|OpenFoodTox,141.3,PPDB,,,,,,,,,,,,,,,,,,,,,"Cizelj, I., G. Glavan, J. Božič, I. Oven, V. Mrak, and M. Narat. ""Prochloraz and Coumaphos Induce Different Gene Expression Patterns in Three Developmental Stages of the Carniolan Honey Bee (Apis Mellifera Carnica Pollmann)."" Pesticide Biochemistry and Physiology 128 (2016): 68-75.",2016, 
Procymidone,32809-16-8,Fungicide,FRAC E,FRAC 2 (E3),"Porrini et al., 2016, ",1,1,100,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Prodiamine,29091-21-2,Herbicide,HRAC K1,HRAC K1,"APHIS, ",1,1,,,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Profenofos,41198-08-07,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, Poshbee H2020, ",1,3,,,0.095,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Prometon,1610-18-0,Herbicide,HRAC C1,HRAC C1,"APHIS, ",1,1,,,36,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Prometryn,7287-19-6,Herbicide,HRAC C1,HRAC C1,"APHIS, ",1,1,,,99,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pronamide,23950-58-5,Herbicide,HRAC K1,HRAC K1,"APHIS, Pacific North West, ",1,2,,,136,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Propachlor,1918-16-7,Herbicide,HRAC K3,HRAC K3,"APHIS, Pacific North West, ",1,2,197,PPDB,,,,,,,,,,,,,,,,,,,,,,,,,
Propamocarb,24579-73-5,Fungicide,FRAC F,FRAC 28 (F4),"APHIS; Porrini et al., 2016, ",1,2,84,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Propamocarb,24579-73-5,Fungicide,FRAC F,FRAC 28 (F4),"APHIS; Porrini et al., 2016, ",1,2,84,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Propamocarb hydrochloride,25606-41-1,Fungicide,FRAC F,FRAC 28 (F4),"APHIS, ",1,1,84,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Propanil,709-98-8,Herbicide,HRAC C2,HRAC C2,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, ",1,3,94.3,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Propargite,2312-35-8,Insecticide,IRAC 12,IRAC 12C,"APHIS, Pacific North West, Tosi et al., 2018",1,3,100,PPDB,47.9,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Propazine,139-40-2,Herbicide,HRAC C1,HRAC C1,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, ",1,3,,,16,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Propetamphos,31218-83-4,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propham,122-42-9,Herbicide,HRAC K2,HRAC K2,"APHIS, Pacific North West, ",1,2,,,16,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Propiconazole,60207-90-1,Fungicide,FRAC G,FRAC 3 (G1),"APHIS, Pacific North West, ",1,2,100,PPDB,100,PPDB,1.2,μg/bee,1.2,≥1,0.012,<0.1,Oral,Chronic,240,240,Carbohydrates,Sugar solution,50,Adults,Apis,Apis cerana,Apis cerana cerana,Physiological,Biochemical,CAT activity derived from acetamiprid alone and propiconazole alone treated groups decreased remarkably as the exposure time extended [10d] in newly emerged bees,"Han, W., Y. Yang, J. Gao, D. Zhao, C. Ren, S. Wang, S. Zhao, and Y. Zhong. ""Chronic Toxicity and Biochemical Response of Apis Cerana Cerana (Hymenoptera: Apidae) Exposed to Acetamiprid and Propiconazole Alone or Combined."" Ecotoxicology  (2019).",2019,
Propiconazole,60207-90-1,Fungicide,FRAC G,FRAC 3 (G1),"APHIS, Pacific North West, ",1,2,100,PPDB,100,PPDB,1.2,μg/bee,1.2,≥1,0.012,<0.1,Oral,Chronic,240,240,Carbohydrates,Sugar solution,50,Adults,Apis,Apis cerana,Apis cerana cerana,Physiological,Body development,Reduced weight of newly emerged bees,"Han, W., Y. Yang, J. Gao, D. Zhao, C. Ren, S. Wang, S. Zhao, and Y. Zhong. ""Chronic Toxicity and Biochemical Response of Apis Cerana Cerana (Hymenoptera: Apidae) Exposed to Acetamiprid and Propiconazole Alone or Combined."" Ecotoxicology  (2019).",2019,
Propyzamide,23950-58-5,Herbicide,HRAC K1,HRAC K1,"Tosi et al., 2018",1,1,100,PPDB,136,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Prothioconazole,178928-70-6,Fungicide,FRAC G,FRAC 3 (G1),"APHIS, ",1,1,71,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pymetrozine,123312-89-0,Insecticide,IRAC 9,IRAC 9B,"APHIS, Pacific North West, ",1,2,117,PPDB,200,PPDB,2.5,ppm,0.002033099,<0.01,1.73769E-05,<0.0001,Oral,Chronic,24,24,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Significant decrease of AChE activity, significant stimulation of PPO and Carboxylesterase, increase of GSI ","Badawy, Mohamed E. I., Hoda M. Nasr, and Entsar I. Rabea. ""Toxicity and Biochemical Changes in the Honey Bee Apis Mellifera Exposed to Four Insecticides under Laboratory Conditions."" Apidologie 46, no. 2 (2015): 177-93.",2015, 
Pymetrozine,123312-89-0,Insecticide,IRAC 9,IRAC 9B,"APHIS, Pacific North West, ",1,2,117,PPDB,200,PPDB,5,μL,70,≥1,0.598290598,<1,Oral,Acute,,0.5,Carbohydrates,Sugar solution,,Adults,Apis,Apis mellifera,Apis mellifera (buckfast),Cognitive,Learning and memory,"Effect on learning procedure - Affect Pavlovian conditioning - Affects the acquisition, the extinction and the discrimination of the conditioned PER in honey bees. ","Abramson, C. I., M. B. Sokolowski, E. A. Brown, and S. Pilard. ""The Effect of Pymetrozine (Plenum Wg-50) on Proboscis Extension Conditioning in Honey Bees (Apis Mellifera: Hybrid Var. Buckfast)."" Ecotoxicol Environ Saf 78 (Apr 2012): 287-95.",2012, 
Pyraclostrobin,175013-18-0,Fungicide,FRAC C,FRAC 11 (C3),"APHIS, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,4,73.1,PPDB,100,PPDB,850,ppb,,,,,Oral,Chronic,144,,Carbohydrates and proteins,,, ,Apis,Apis mellifera,Apis mellifera,Physiological,Body development,"In the mandibular glands of pesticide treated nurses, epithelial secretory cells were significantly decreased in height; mean cell height reduction by 21%.","Zaluski, R., L. A. Justulin, and R. D. O. Orsi. ""Field-Relevant Doses of the Systemic Insecticide Fipronil and Fungicide Pyraclostrobin Impair Mandibular and Hypopharyngeal Glands in Nurse Honeybees (Apis Mellifera)."" Scientific Reports 7, no. 1 (2017).",2017, 
Pyrazophos,13457-18-6,Fungicide,FRAC F,FRAC 6 (F2),"Poshbee H2020, Tosi et al., 2018",1,2,,,0.25,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pyrethrins,25402-06-06,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,,,0.013,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pyridaben,96489-71-3,Insecticide,IRAC 21,IRAC 21A,"APHIS, Pacific North West, Porrini et al., 2016, ",1,3,0.535,PPDB,0.024,PPDB,75,ppm,,,,,Oral,Chronic,,,Carbohydrates and proteins,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Physiological,Reproduction,Very detrimental effect- total loss of reproduction,"Besard, L., V. Mommaerts, J. Vandeven, X. Cuvelier, G. Sterk, and G. Smagghe. ""Compatibility of Traditional and Novel Varroacides with Bumblebees (Bombus Terrestris): A First Laboratory Assessment of Toxicity and Sublethal Effects."" Pest Management Science 66, no. 7 (Jul 2010): 786-93.",2010, 
Pyridalyl,179101-81-6,Insecticide,IRAC UN*,IRAC UN*,None,0,0,100,PPDB|OpenFoodTox,100,PPDB,,,,,,,,,,,,,,,Apis,Apis mellifera,Apis mellifera,,,,"Razik, Marama. ""Toxicity and Side Effects of Some Insecticides Applied in Cotton Fields on Apis Mellifera."" Environmental Science and Pollution Research 26, no. 5 (Feb 2019): 4987-96.",2019,"Badawy, M. E. I., H. M. Nasr, and E. I. Rabea. ""Toxicity and Biochemical Changes in the Honey Bee Apis Mellifera Exposed to Four Insecticides under Laboratory Conditions."" Apidologie 46, no. 2 (Mar 2015): 177-93."
Pyrimethanil,53112-28-0,Fungicide,FRAC D,FRAC 9 (D1),"APHIS, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,4,100,PPDB|OpenFoodTox,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Pyriproxyfen,95737-68-1,Insecticide,IRAC 7,IRAC 7C,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, ",1,3,86.02325267,PPDB|OpenFoodTox,74,PPDB,0.023,μg/larva,0.023,<0.1,0.00026737,<0.001,Oral,Chronic,,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Body development,"Earlier emergence, young treated bees were more frequently rejected by nestmates from the colony, inducing a shorter life span","Fourrier J, Deschamps M, Droin L, Alaux C, Fortini D, Beslay D, et al. (2015) Larval Exposure to the Juvenile Hormone Analog Pyriproxyfen Disrupts Acceptance of and Social Behavior Performance in Adult Honeybees. PLoS ONE 10(7): e0132985. doi:10.1371/journal.pone.0132985",2015, 
Pyriproxyfen,95737-68-1,Insecticide,IRAC 7,IRAC 7C,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, ",1,3,86.02325267,PPDB|OpenFoodTox,74,PPDB,100,ppm,,,,,Oral,Acute,,,,,,Larvae,Apis,Apis mellifera,Apis mellifera,Physiological,Body development,Delay in flight muscle differentiation when compared to the control.,"Fernandez, F. C., C. Da Cruz-Landim, and O. Malaspina. ""Influence of the Insecticide Pyriproxyfen on the Flight Muscle Differentiation of Apis Mellifera (Hymenoptera, Apidae)."" Microscopy Research and Technique 75, no. 6 (Jun 2012): 844-48.",2012, 
Quinalphos,13593-03-8,Insecticide,IRAC 1,IRAC 1B,"Tosi et al., 2018",1,1,,,0.07,PPDB,,,,,,,,,,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Changes in total amino acid contents in forager bees,"Kumar, S. ""Quinalphos Induced Changes in Amino Acid Contents of Forager Worker Bees Apis Mellifera L."" Research Journal of Pharmaceutical Biological and Chemical Sciences 8, no. 3 (May-Jun 2017): 512-17.",2017, 
Quinalphos,13593-03-8,Insecticide,IRAC 1,IRAC 1B,"Tosi et al., 2018",1,1,,,0.07,PPDB,,,,,,,Oral,Chronic,,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Inhibitory action on amylase activity,"Kumar, S. 2017. ""Effect of pesticides on amylase activity in foragers of apis mellifera l. Under laboratory conditions.""  Pollution Research 36 (3):619-622.",2017, 
Quinalphos,13593-03-8,Insecticide,IRAC 1,IRAC 1B,"Tosi et al., 2018",1,1,,,0.07,PPDB,,,,,,,Oral,Chronic,24,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Increase of Glutathione STransferase (GST) activity ,"Kumar, S. 2017. ""Effect of pesticides on glutathione S-transferase activities in forager worker bees of Apis Mellifera L.""  Biochemical and Cellular Archives 17 (1):295-299.",2017, 
Quinoxyfen,124495-18-7,Fungicide,FRAC E,FRAC 13 (E1),"APHIS, Pacific North West, ",1,2,100,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Quintozene (PCNB),82-68-8,Fungicide,FRAC F,FRAC 14 (F3),"APHIS, Pacific North West, ",1,2,,,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Resmethrin,10453-86-8,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,,,0.063,PPDB,0.013,μg/bee,0.013,<0.1,,,Oral,Chronic,,12,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Inhibition of esterase activity (decreased by 23%),"Pokhrel, V., N. A. DeLisi, R. G. Danka, T. W. Walker, J. A. Ottea, and K. B. Healy. ""Effects of Truck-Mounted, Ultra Low Volume Mosquito Adulticides on Honey Bees (Apis Mellifera) in a Suburban Field Setting."" Plos One 13, no. 3 (Mar 2018).",2018, 
"Resmethrin, cis",10453-86-8,Insecticide,IRAC 3,IRAC 3A,"APHIS, ",1,1,,,0.063,PPDB,,,,,,,,,,,,,,,,,,,,,,,
"Resmethrin, trans",10453-86-8,Insecticide,IRAC 3,IRAC 3A,"APHIS, ",1,1,,,0.063,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Rotenone,83-79-4,Insecticide,IRAC 21,IRAC 21B,"Porrini et al., 2016, ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sethoxydim,74051-80-2,Herbicide,HRAC A,HRAC A,"APHIS, Pacific North West, ",1,2,,,10,PPDB,,,,,,,,,,,,,,,,,,,,,,,
